rs;name;within;home;incoming;outgoing
06440;Wetteraukreis;38270;10970;64280;98810
06531;Gießen;40290;7440;75190;76990
06532;Lahn-Dill-Kreis;42040;6810;69460;75970
06533;Limburg-Weilburg;21660;5160;42060;55920
06534;Marburg-Biedenkopf;47220;6920;62430;67390
06535;Vogelsbergkreis;19260;3800;20320;30970
06611;Kassel, documenta-Stadt;61240;5640;72100;23180
06631;Fulda;40420;6140;66830;61750
06632;Hersfeld-Rotenburg;21580;3340;36320;32220
06633;Kassel;27580;8130;56360;81090
06634;Schwalm-Eder-Kreis;27660;5100;39800;56680
06635;Waldeck-Frankenberg;35010;4860;38250;39600
06636;Werra-Meißner-Kreis;18040;3200;19740;26690
07111;Koblenz, Stadt;35620;4180;57400;15290
07131;Ahrweiler;17490;4110;27610;42210
07132;Altenkirchen (Westerwald);14260;3460;33640;47520
07133;Bad Kreuznach;21010;4400;45030;51670
07134;Birkenfeld;13960;2880;22110;24000
07135;Cochem-Zell;7790;1890;18710;23000
07137;Mayen-Koblenz;27030;5390;52630;75050
07138;Neuwied;26970;5640;45900;56260
07140;Rhein-Hunsrück-Kreis;13230;2770;32780;37530
07141;Rhein-Lahn-Kreis;14030;3840;31600;44570
07143;Westerwaldkreis;20670;5500;63440;77310
07211;Trier, Stadt;37350;3720;35230;15460
07231;Bernkastel-Wittlich;19030;4190;33400;36770
07232;Eifelkreis Bitburg-Prüm;11780;3160;28230;36350
07233;Vulkaneifel;8380;2110;18320;21070
07235;Trier-Saarburg;12160;4030;24450;60120
07311;Frankenthal (Pfalz), Stadt;8070;920;11260;12240
07312;Kaiserslautern, Stadt;31590;2160;35350;11270
07313;Landau in der Pfalz, Stadt;11920;1020;15450;9910
07314;Ludwigshafen am Rhein, Stadt;37840;3660;69040;29580
07315;Mainz, Stadt;61360;6800;74760;37450
07316;Neustadt an der Weinstraße, Stadt;11960;1710;11250;11510
07317;Pirmasens, Stadt;11520;620;13130;4900
07318;Speyer, Stadt;12610;1430;19270;10580
07319;Worms, Stadt;20850;2550;16610;15000
07320;Zweibrücken, Stadt;8860;570;11180;6410
07331;Alzey-Worms;12450;5480;24690;48010
07332;Bad Dürkheim;14280;4980;26650;46050
07333;Donnersbergkreis;8680;2060;17480;27080
07334;Germersheim;14990;3920;34230;45830
07335;Kaiserslautern;9160;2550;22970;40120
07336;Kusel;6020;2300;14480;27280
07337;Südliche Weinstraße;11550;3990;23850;41240
07338;Rhein-Pfalz-Kreis;11420;4420;21840;57600
07339;Mainz-Bingen;21110;8290;43160;79340
07340;Südwestpfalz;7490;2990;12930;38730
